Rating;Employee Status;Review Title;Date;Pros;Cons;Num People Helpful
1.0;Former Employee, more than 1 year;Awful;Jun 10, 2021 - Retail Support Specialist;No pros, only constant cons.;Work-life balance non existant.Awful shifts schedulingComplete lack of communication trough out the companyAwfully high kpi’sBonuses are being delayed to be paid out for at least a month.Company is not investing in their current employees and outsources people to replace current employees. VERY LOW SALARY.;4
5.0;Former Employee, more than 1 year;Great benefits and perks;Mar 25, 2021 - Strategy Manager;Driven team and CEO. Company moves fast to launch products to serve customers;Working hours can be long.;0
5.0;Current Employee;Good company to work in;Mar 22, 2021 - Lead Android Developer;skilled coworkers, friendly and result-oriented atmosphere;the bigger it gets, the more inert and processed-oriented it becomes;0
2.0;Former Employee, less than 1 year;It's the people that make a business and you've forgotten them...;Sep 8, 2020 - Senior Recruiter;Great brand, seriously innovative product(s), decent benefits.;CEO deliberately sets unachievable targets. Expect weekend work and for this job to be your life. You'll hear lots of people rambling on about A players and Rocket Ships. Lots of young and academically gifted managers, with no life experience or ability to actually manage. This place will test your mental health.;54
5.0;Current Employee, more than 1 year;Experience after one year in company;Feb 5, 2021 - Lead Software Engineer;It is still feels like a startup. Internal processes are not perfectly polished, but there is so many interesting projects to get involved, so for me it's a perfect place to grow.;"It slowly becomes a ""bank"" with additional layers bureaucracy";0
2.0;Former Employee, more than 1 year;Great product, but questionable culture;May 24, 2021 - Senior Recruiter;Ambitious company with fast growth;High stress and workload, lack of care for employees, little to no support;5
1.0;Former Employee, more than 1 year;Dictatorship as work;Mar 9, 2021 - FinCrime Analyst;- Good salary *- Clear recruitment process- Most of the teammates - Nice knowledge*Unless you had any bonus, in that case probably it will be removed to save some money and use it for other purposes.;- The work-life balance is non-existent, your work will depend on the company's requirements. - Absent planification, if you have a shift position you will not know your next month schedule probably until less than a week left.- Never settle: That means that your tasks, even your team, could change in less than 24h without your consent.- Stronger together: if you share your opinion or simply ask for something that differs from the opinion with senior management, for example: Any manager or Head of ____. You'll get in trouble and they'll find a way to fire you. Or maybe you are simply forced to leave.- Think deeper: If you want to get promotions you have several options. Do your line manager work, get an absurd amount of extra tasks, or simply befriend management. Doing your work is not sufficient, think deeper, guys.- If you liked Game of Thrones this is a pro: The quarter quarterly performance depends on a lot of non-objective factors. What does it mean? If you commit some mistake that goes against the hive mind probably you will be stabbed and your work for the last months will mean zero. And be careful, you can also go on PIP and eventually get fired. On the other hand, if you are a person who loves politics, you will love this place.- Just to clarify, everything shared on Wired was true. And I'd add is getting worse, I do not recommend this place unless you really need the money. Your mental health, and eventually your physical one, will be affected.;22
3.0;Current Employee, less than 1 year;Good for learning, can lead to burnout;Jun 6, 2021 - Operations Manager;Very smart people, great product;"Aggressive KPIs (quarterly), which means there is no down time at all; Too many new internal processes";2
4.0;Former Employee;Nice environment - no many opportunities;Mar 5, 2021 - Customer Support;Great people, new facilities, nice environment, benefits.;Unspecific goals, not enough training on new products and releases, dishonest promises on bonuses.;1
2.0;Current Employee, more than 1 year;I knew it was going to be bad and some how it ended up being worse;May 21, 2020 - Backend Engineer;+ Generally nice people+ IT requests answered very fast+ Lot’s to learn about what not to do when you become a leader;Technology:I was told Revolut hated using frameworks like Spring which is great I thought since I tend to avoid frameworks too!So I was shocked to discover when I joined that the CTO had written a trash framework himself that he forces everyone to use!Worst of all if you complain about his framework he tells you - it’s only a few classes so it shouldn’t get in the way of anything when it gets in the way of anything and then you fail your probation (luckily I was never vocal).This means the code at Rev is just a gigantic bunch of hacks around a trash framework.Also they don’t use CQRS - that’s just a straight lie. Also, instead of using an existing message queue like Kafka or something else they decided to build their own which has so many problems with reliability and missing features I don’t even know what to say. CultureAs you can tell from the other reviews - the culture sucks & they make you work weekends, deadlines etc...But the worst part of this whole thing is that one day you come in to work & you see your work friend’s Slack account has been deactivated - no warning just fired. This has happened to me a dozen times at Rev now.Also you’ll regularly see people shouting at each other in person like genuinely arguing in the middle of the floor.HRThere is no HR - the head of people is a lackey of the CEO with zero HR experience. Also, they monitor your slack so be careful.CEONik is very smart guy! I really like him as a person having worked with him - he’s very driven & gives good advice. But and this is a big but - Nik sadly isn’t mature enough to be a CEO of a company in our stage.We need to move the focus away from growth & invest in building PnL so I think right now is the right time for him to step down and for Rev to find an experienced CEO to drive the company to profitability.;69
4.0;Current Employee, more than 1 year;Revolut;Mar 31, 2021 - Junior FinCrime Analyst;Medical Insurance, employee care, and benefits;Scheduling system and the management is not great;0
1.0;Current Employee, less than 1 year;Don't Consider This Place;Dec 21, 2020 - Anonymous Employee;People are generally nice and passionate about the work they doGood office perks;The general staff turn over here is less than a year. Do your research before you even consider this place. Make sure you are ready to embrace all the negative things about this company. Everything you read here on Glassdoor or Wired Magazine articles, they are all true. You might be lucky to work for a small team that is nice, but that chance is really low because the overall company culture is toxic. Your job security is only for the next three months. 4 performance reviews looking thoroughly into your deliverables will be constant in your day to day life. If you are identified as not performing well, be ready to be fired.I worked really hard and learned a lot. But enough is enough, I am starting to see the signs that this company has on my mental and physical health. Many people stayed because they had no choice. Revolut did a redundancy during the pandemic, salary sacrifice, and people are very scared. Because if you lose your job at this time, it is very difficult to find a new job. Then our CEO said it is ok to micromanage your team until they prove their value to you. The company is looking for perfect execution machines instead of treating you like a person, a human being. People are starting to leave now, important people that have been in this company for some years, this is because the market is getting better and pandemic is not going to be there forever. New opportunities start to come back, the first thing people will do is to leave this place. Don't expect your line managers to care about you, if you fall sick, they won't care how bad you are or even care to ask if everything is ok or get well soon etc. There are no simple kind words in this place to make you feel like you are not just a machine. And you feel it everyday that they don't care about you as a human being, only your deliverables that will help them to climb up the ladder.;64
4.0;Former Employee;Great place to work and learn;Mar 21, 2021 - Software Engineer;Great team culture and people are willing to learn;Projects are very team dependent;0
4.0;Current Employee, more than 1 year;A great place to work, not for the faint hearted!;Feb 20, 2021 - Security Analyst;- Up and coming company- Fast work place- Like minded people- A sense of belonging - Fantastic peers;- Company ethos and pace isn't for everyone;0
3.0;Former Employee, less than 1 year;Better wait 2-3 years for this company to get organized.;Jan 30, 2020 - Customer Support;- Beautiful office- Smart, youthful, ambitious colleagues- Really good referral bonus. Something like 1200 GBP.- Multinational office- They sort out residency for you. You pay all government fees, but no legal fees.- If you do not have a lot of work experience you will move up the ranks very quickly, as they are expanding rapidly, and desperate to fill management positions.;- VERY disorganized. There was even some information missing from my contract when I signed. - No real leadership.- Scaling very quickly so everything is very muddled right now.- Management is very very bad and completely inexperienced.;7
5.0;Current Employee, less than 1 year;Most fulfilling job ever;Jun 28, 2020 - Product Owner;- No day is the same and everyday you learn something new- Everyone is motivated to create the best product possible for the customer- There is no limit on what is possible for the product you are working on- If you have an idea and can back it up with numbers you will be able to form your idea into an actual product feature- The people you work with are from very diverse backgrounds which makes the workplace very interesting and alive (e.g. you do not only interact with ex-bankers);- You will have moments where the job gets busy and you need to make longer hours. This is the sacrifice you make when getting onboard of this groundbreaking company. (On the other hand you do get plenty of time in PTO in return to unwind);3
5.0;Former Employee, more than 1 year;Great place to work with interesting challenges;Feb 15, 2021 - Data Engineer;Taking control and ownership of productsGrowthGreat managementModern stack;People expect things to be done yesterday. But with good expectation management this goes away.;0
5.0;Current Employee, less than 1 year;It's a great place to work, but not for everyone;Feb 3, 2021 - People Department;- Insight into multiple areas of the business- Fast pace- Other employees are very like minded, with a 'get it done' attitude - Great career progression;- The pace isn't for everyone;0
4.0;Current Employee, less than 1 year;Good place to work as iOS dev;Oct 9, 2020 - Senior IOS Engineer;"Very responsive iOS team leads;Very strong base architecture everybody follows;Automated processes like CI, code review, etc are perfect;Salary;";"Weak relocation package;Missing of QA stage in dev process;Can become boring very fast;Health insurance for employee only, not family;";15
2.0;Current Employee, more than 3 years;AMLL/CTF;Jun 29, 2021 - AML Analyst;Work permit, medical insurance, multisport;Terrible shifts, weak management mindset,;2
1.0;Former Employee;Avoid;Jan 30, 2020 - Senior Software Engineer;- Cool office space.- Many people I've meet were very nice, knowledgeable, and humble.- No one tells you how to do things, as long as you get things done (this also proved to be one of their issues).;"- Arrogant management.- Probation period goals poorly defined and most of the times not measurable.- Lack of support or direction during your probation period. You'll have to constantly chase your line manager to give you feedback and luckily he/she won't be too busy.- No one will tell you whether you passed the probation period or not, even though they are supposed to give you a written confirmation.- Blame culture. Instead of focusing on solutions and fixing problems or educating people, some senior engineers / managers prefer to just make fun of other people's lack of skills or point fingers.- People are treated as disposable and will be let go during their probation period for no reason. With luck, they will tell you ""you're not a good fit for the company"".- They tell you that no one forces you to work long hours, but the tasks they give you during your probation force you to work many extra hours and during the weekend.- Job spec advertised completely different from the actual work you'll do (given the speed at which the company is growing, you'll end up doing really crappy work that other people who've been longer in the company don't want to do).";39
3.0;Current Employee, more than 1 year;A good platform for growth, but incredibly intense;Mar 24, 2021 - Product Owner;You'll be given huge amounts of responsibility and ability to shape real-world changes for millions of customers.Nothing is sacred - everything is decided by logicCompany is going places.;Work life balance isn't taken seriously.Teams are under-resourced and expectations are unrealistic.Compensation isn't what it used to be;6
5.0;Current Employee;Best place to work if you are up for challenge and growth;Jan 10, 2021 - Product Owner;- Get a lot of responsibility (if you are up for it)- Get all the resources to get things done- Be accountable for result;- You need to be agile and prepared for change from time to time;0
4.0;Current Employee;team lead;Feb 21, 2021 - Team Lead;full of challenges, goo as starting point into people and project management;workload, poor work-life balance caused by that load, extra working hours are not paid;0
1.0;Current Employee;Worst management ever;May 6, 2020 - Product Owner;+ smart colleagues + great for learning and development;Senior management treats employees as mere numbers. CEO openly said managers should gladly let under-performers go during townhall and pointed out employees are being lazy when everyone in the company literally works all the time even during weekend. Good managers are those who can fire employees without a blink. Company recently introduced quarterly performance reviews so they have more opportunities to fire people. Management rules by intimidation. If employees don’t follow certain process or meet certain deadlines, their bonus will get deducted. Senior managements often openly harass employees, calling people idiots and micro manage every little aspects. Some employees are also being let go simply because they disobey orders from above. The remaining employees become too afraid to speak out and just work hard to satisfy requirements from senior management. You don’t get praise when doing a good job but imagine the worst when you screw up. Politics in the company drive teams to work against each other. Every team is too busy optimising their KPI without thinking long term. No resources nor support are provided for personal development. There are materials on HR portal for it but they are not useful at all. Climbing up career ladder in Revolut is a suicide mission. Avoid at all cost.;46
5.0;Current Employee;Great place to work;Feb 26, 2021 - Sales Representative;- Tech- People- Onboarding process- Team integration;I can not think of any.;1
4.0;Current Employee;Not bad;Mar 3, 2021 - Ops Manager;strong team, very delivery focussed;difficult to work with people;2
5.0;Current Employee, less than 1 year;good;Mar 15, 2021 - Junior Android Develloper;good company i like. ita lot;not so good sometimes damn;0
4.0;Former Employee;good workplace;Mar 10, 2021 - FinCrime Analyst;work culture, helpful colleagues, challenging job;frequent shift changes, no formal training;0
2.0;Former Employee, more than 3 years;T'was a great start;Oct 19, 2020 - CS Team Leader;Any individual looking to work at Revolut can expect a decent base pay and, with some extra ambition and hard work, access to a variety of growth/relocation/travel opportunitiesMost of the team on site are kind, well-meaning people, and the company is, as the CEO likes to put it, a meritocracy, meaning that anyone can and will be promoted if they show hard work and the necessary skill- and mindset. You can be 100% self-taught and get to the top with no formal education at all.;"- many incompetent managers scattered all overon all company levels with no change in sight; it's an internal systemic issue, comes from promoting very apt and/or hardworking specialists to managerial roles regardless of how well they work with people etc.- shocking lack of internal QA;- management does not react to feedback;- extremely poor internal communication;";4
3.0;Former Employee;Great product and very skilled Engineering team but there are problems with work-life balance;May 12, 2021 - Android Software Engineer;There are really skilled engineers. Nice modern technology stack. Interesting product.;The culture of overworking. Some processes are very overcomplicated.;1
1.0;Current Employee, less than 1 year;Dire;May 5, 2020 - Operations Manager;- Good Salaries- Great office space- Free Deliveroo;"You only have to read some the most recent reviews to understand what it's like to work at Revolut.""A lot of good people around but culture is awful""""No work life balance, Management only cares about your works not you.""""Top down micro management and unachievable targets""""Innovating company but complete wrong management""""Bad management, poor HR practices, would avoid""""Not recommended even if Revolut brand name big""There is no real autonomy to make a difference. Teams are not empowered to set and focus on longer term strategies. Senior leadership style is more of a dictatorship, with teams simply closing actions coming from the top. It's dire.Very open about company willingness to fire people with a '0% underperformance target by the end of 2020 at any cost' objective. General vibe is unfriendly and unsupportive.  Glassdoor responses feel PR driven rather than respond to actual issues. You simply cannot sugar coat how the company acts.Yes, we may be building a rocket ship, but unless we develop a heart as a business, it's gonna crash.";40
4.0;Current Employee, less than 1 year;Overall a good place to work;Feb 22, 2021 - FinCrime Analyst;They value your opinions and insights;The schedule varies from week to week;0
2.0;Former Employee;Not what it looks like;May 5, 2021 - Anonymous Employee;big challenges, talented team, nice office, great market, big opportunity;bad culture, after hour job, bad communication, lack of process, lack of support;5
4.0;Former Employee;Ok;Feb 19, 2021 - FinCrime Analyst;Office, free food, some other perks;Chaos, salary not that great, some people lazy undercover;1
3.0;Former Employee;Financial Crime Analyst;Jun 9, 2021 - Anonymous Employee;meal subsidy included and metal subscription;all the work is done remotely;0
5.0;Current Employee, less than 1 year;Smart people, ambitious goal and KPIs driven;Feb 16, 2021 - Product Owner;Smart people, cool products, complete autonomy, KPIs driven;Crazy deadlines, no room for error;0
3.0;Former Employee, more than 1 year;Great Potential;May 13, 2021 - Human Resources Manager;- amazing team and employees- great energy and cultural aspirations;- no human intelligence- poor leadership;1
4.0;Former Employee, more than 1 year;OK;Feb 4, 2021 - FinCrime Analyst;Actually there is nothing to mention as pros, usual regular conditions.;Not organized, HR is not professional, regular errors;2
1.0;Former Employee, less than 1 year;Worst place;Jul 21, 2021 - Legal Assistant;FintechModern Good perkMost staff is goodLocation;Very badPoor culture No value;5
5.0;Current Employee, more than 3 years;Great place for growth;Feb 4, 2021 - Payment Operations Manager;Great exposureGood promotion opportunitiesNew initiative give rise to leadership roles for those able to take themBest technology;Work/life balanceBenefits schemes could be better;0
5.0;Current Employee, less than 1 year;5 stars;Feb 24, 2021 - Anonymous Employee;Good work environment in the building;None applied for this company;0
1.0;Former Employee, less than 1 year;Omnishambles From Day 1;Dec 15, 2020 - FinCrime Analyst;Nice colleagues, free cereal in office, and..?;As it was a new team being created in my interview they couldn't really tell me what I'd be doing. But fine, I took a leap of faith given it was a exciting company rapidly expanding. Day 1 - I was asked whether I could go to Leeds for a week. Nothing about travel was mentioned before getting the job. I have a child I need to look after with my wife. Also there was an expectation to soon travel to Poland for a week. I agreed, then the day before the Leeds trip, as nothing had been communicated to me (train tickets, accommodation) I asked my manager what's happening. She said you're no longer going. Great. Thanks for the heads up. I've made childcare plans but fine. I never really knew what I was supposed to be doing and what I was doing was pretty boring. Training was pretty much non existent. Also, my 'manager' I found wasn't actually my manager but someone who had their own role who was just looking after the team. So I had no real idea what I or my team was doing or what it's goal was - even after asking. KPIs... they were making them up as they went along as it was a new team. So i had no idea what i needed to do to pass it. Again I asked but no one knew. My 'manager' went AWOL after about 4 weeks of me joining & never returned. Wasn't told why. Team then really rudderless. Then lockdown hit. I together with my working wife had to look after our child as nurseries were shut. This massively impacted the amount of work I could do as I was obviously sharing childcare. This meant I couldn't hit whatever the KPIs were. I explained this to my new manager who said yes it must be difficult, but again next week asked why I hadn't hit targets, I explained because of childcare & round in circles we went. Basically Revolut didn't care about that - I needed to hit targets no matter what. In the end they made my who team redundant and said it was nothing to do with Covid. The decision was made before Covid. So why was I hired then because I joined just before Covid hit??? Blatent lie by Revolut who didn't want a bad rep by making people redundant during the crisis. Overall, in my experience, this was a company that didn't really know what it was doing and was making it up as it went along. If people (like me) lost their jobs along the way then so be it.;46
5.0;Former Employee, more than 1 year;You will learn a lot;Jan 19, 2021 - Data Scientist;Good place to work. Changed a lot since the beginning;Slowly becoming a huge powerhouse;1
1.0;Current Employee;Worst than COVID;Jan 11, 2021 - Manager;Office perks, but now we are working from home..;Working for Revolut made my life miserable. You are micromanaged not only by your manager but by every single individual in the organization (no matter it’s seniority or area of expertise) that believes that it is entitled to criticise your work. Every single thing that you make will have to go to a jira ticket, explained in detail to your manager, to every possible stakeholder, and even to people who have no idea of what you do but they believe that their KPI will be affected by what you are doing even though it is literally not related. Otherwise, you will face the scrutiny of The Wizard of Oz!;10
4.0;Current Employee, more than 1 year;Nice company;Feb 23, 2021 - Customer Support Agent;Good environment, great people, nice workplace;Communication between teams and rotative schedules.;0
5.0;Current Employee;great;Feb 12, 2021 - Manager;dynamic, autonomous, ambitious and smart people;long hours is the main thing, but people love what they do.;0
1.0;Former Employee, less than 1 year;Horrible culture! stay away at all cost;Jan 27, 2021 - Manager;- fast pace- some really talented people;- does not honor employment contract. Benefits promised in my contract were simply not honored. No apologies or any other form of compensation. - Horrible culture. Management shows no empathy or care for employees. - Little or no attention to risk management...i feel that ticking bomb is waiting to go off- no such thing as work life balance....management expects you to work at least 12 hours a day- after I resigned, my last pay cheque was lower then what I was expecting. E-mailed HR but has not received any response for nearly 2 month now.;5
4.0;Current Employee;Challenging Employer;Jan 5, 2021 - Vendor Operations Specialist;nice Opportunity to go with additional tasks to proceed with things out of the direct scope of your role;- People are working after hours - general work atmosphere/work culture is on w low level;1
3.0;Former Employee, less than 1 year;Waste of potential;Apr 21, 2020 - Customer Support Specialist;Nice office, fully packed with amenities and food. Flexible environment, nice and open work mates, Uber rides for late shifts, home office possible, welcome gifts on onboarding, food parties, possiblity to grow to different areas.;Bad management, insane KPIs that make no sense and that never change despite circumstances that can affect productivity. Super-flexibility required since things/procedure/rules change can change every day and if you are not aware your work performance can be severely damaged. Company works like an informal group chat: many opinions, new rules are set in the dead of night with no consultation of other teams to measure impact, useless talks mixed with important announcements, a complete mess. Despite issues exist, big bosses are aware but ignore resolution. Procedures are more and more designed to focus on results (numbers) and less on quality (for the customer and workers). Not a good stable place to develop a career.;12
1.0;Current Employee, more than 1 year;Terribly ran company, do not join unless it's your only option;Dec 19, 2020 - Anonymous Employee;The product is interestingThe compensation may or may not be ok, depending on the expectations for your role;Terrible planning for solutions, everyone needs what they need ASAP with no consideration on how viable the solution is long termAlmost noone will push back on bad ideas from upper management in fears of getting firedExcessive focus on KPIsOverall arrogant, often clueless management that will not take any feedback seriously (maybe they will pretend to listen to it, but will never adapt via actions)Operations side is especially messy, maybe product side is somewhat better?;17
3.0;Current Employee;Strategy and Operations Interview Japan;May 28, 2021 - Strategy and Operations Manager;Entrepreneurial, small team, big responsibility.;Can be chaotic with unclear workstreams.;0
2.0;Current Employee, more than 1 year;Great Product, extremely poor outlook towards employee;Feb 15, 2021 - Data Scientist;1. Great and well diversified Product2. Good global presence;1. Compensation is taking a toll every quarter2. Benefits are dwindling, be it stock compensation or bonus3. Growth is very poor4. Dont ever get sold on a lunior level with the perception of fast growth. It doesnt happens;9
2.0;Current Employee, more than 1 year;Average;Jun 1, 2021 - Financial Crime Analyst;nice benefits, home office policy,;Poor management, low salaries, poor policies;0
4.0;Former Employee, more than 1 year;Nice first job;Jan 28, 2021 - Customer Support Specialist;"Easy to change to other teams; Salary is good;Good office environment;Nice extra perks like uber.";"Overall bad company environment;Stressful job.";0
2.0;Former Employee, more than 1 year;Toxic culture;Jan 12, 2021 - Anonymous Employee;Interesting work as you get to do some innovate things;-Management do not know what they’re doing therefore the strategy is not aligned across the business. -Too many people who are starting their careers so professionalism is not very high-Work life balance is nonexistent;10
5.0;Current Employee, less than 1 year;Nice People and Culture in the Singapore office!;Feb 1, 2020 - Anonymous Employee;- No office politics or games, we know that if we do engage it those - it will hinder us and deprive us of opportunities moving forward.- Everyone is accountable and takes ownership of their actions- People are inclusive and diverse, and accepting of one another.- Beyond work, we can be quite a fun group of people. We still get things done man.- Fundamentally, we are all a team player. Though we might be strong or smart individually, we are all respectful of one another.- We encourage everyone to grow and develop as a professional in their own career. Having the space to struggle, and make honest mistakes, and learning from it is part of the process we recognised.;- Things can be ambiguous, given the startup nature. But this can provide a learning opportunity for you to take on different things, and solve various problems.;1
5.0;Former Employee, more than 1 year;Great;Jan 6, 2021 - Junior Operations Manager;Remuneration is good and people are supportive;Overtime management could be improved;3
5.0;Current Employee;Really collaborative and friendly environment;Nov 4, 2020 - Sales;Fast paced, things change quickly but you're kept updatedFriendly colleaguesFlat structure - fully transparent and easy to reach out to almost anyone Clear progression;Regulations and compliance is very strict meaning sometimes things are trickier than customers would like;0
5.0;Current Employee, more than 1 year;Great company;Dec 30, 2020 - Backend Engineer;Great company to work! I fell fairly treated here. Company cares about employees well-being.;A bit lack of management results into working overtime, which fairly happens not quite often.;0
2.0;Former Employee, less than 1 year;Not a great experience;Apr 16, 2021 - Senior Recruiter;- Interesting product - Salary pretty good compared to market average;- Not a great working culture - very aggressive and little support.;3
5.0;Current Employee;Lovely;Jan 25, 2021 - Analyst;People, benefits, environment, snacks, colleagues;Shifts shifts shifts shifts shifts;1
1.0;Current Employee, more than 3 years;Stranger and stranger;Feb 12, 2021 - Engineer;Very motivated people who want to deliver innovation.;Things still the same. I am tired of reading senior management always saying “we’ve made mistakes” but there is really no change. Still poor behaviors specially from same people who maybe are not human being. What you can find from google search about them not far from truth. Maybe they just cover up better now. Maybe losing focus on customer. And random customer approach me asking for customer support, make me do a face palm.These people think they really dominate world.;7
5.0;Current Employee, less than 1 year;Awesome place to work for skilled motivated people;Oct 27, 2020 - Senior Backend Software Engineer;- ability to build amazing products- focus on success- team of practical proactive professionals- chance to be on boat which sailing to success- always beating goal, and creating next one much higher;- will not feets for people who try to do routine tasks, without doing extra mile, just to getting good salary without efforts;0
1.0;Current Employee, more than 1 year;If you value your work/life balance and mental health, then it doesn't worth it;Jun 22, 2020 - Anonymous Employee;- Great smart colleagues- Stock options- You can learn a lot from relatively high-loaded project, if you haven't had this experience earlier- Relocation to London/Berlin- Chance to be promoted, if you work extremely hard.;- The CEO is killing his own company, and it's sad to see. The atmosphere of shaming and bulling from top management (including the CEO) and general fear of all others just eat you gradually. You either adapt and break smth inside yourself, or leave.- Ridiculous micromanagement on all levels, especially by the CEO.- Crazy deadlines and expectations from you to do overtimes don't worth the money they offer.- Because of general fear of the CEO nobody argues with him and nobody proposes anything different to his opinion. This eventually leads to huge mistakes made in the environment without any criticism, because there are no perfect people with perfect decisions, even though Nik thinks so...;33
2.0;Current Employee, more than 1 year;A lot of good people around but culture is awful;May 2, 2020 - Anonymous Employee;"* A lot of passionate and talented people around;* Quite high salaries;* You can get a promotion and/or stock options after half-year performance reviews;* The company offers relocations if you're interested.";"* The company positioned as an Agile company. Now there are a lot of managers, managers of managers, heads of managers, etc.;* Plans are constantly changing;* The CTO wants every developer to use TTD, but in reality the process of software development is often NDD (Nik driven development) as Nik personality likes to set not achievable goals and to push ""product owners"" to deliver things in extremely tight deadlines (using his own motto ""get **it done""). It leads to long working hours and burnouts. You can't say anything good about quality in such an environment; * No QA (literally: there are 3 QA engineers, who are working with mobile developers, no QA for the frontend or backend at all);* Recently they added 2 other opportunity to fire people. This is 2 additional performance periods (so it's 4 performance periods a year). They call it ""performance checkpoint"" and it happens quarterly now. With the only difference: there is no way to get a promotion or bonus, but you can get fired;* The performance review process is broken: you can ask people to review you, but the only opinion which is important is the opinion of your ""product owner"", which obviously can be biased + ""product owners"", as they are mostly non-technical people, don't really understand what exactly you've done + last ""performance checkpoint"" all the POs were ultimately asked to decrease marks they set for their team members;* As a result they started to fire people without warnings (about 100 people this quarter based on some internal rumors);* The way how they fire people is awful: this is an often case, when you have a meeting with a person in the morning, but next day you see just ""Account deactivated"" in Slack; * They use the ""product owner"" term which can sound like this is a position described in some Agile frameworks, but don't let to fool yourself: this is just a word they use to call ordinary product managers. Most of them don't own their products and act as proxies between Nik and a team. Also, micromanagement is one of the favourite strategies to manage people;* You never know what you should do to get a promotion or a pay raise. The only way to get is your ""product owner"" specifically asks to promote you, but considering they fire people (and ""product owners"" as well) often, there is a chance to find yourself in a team with a person as a manager who barely knows anything about you and how you've worked.";55
4.0;Former Employee;Great challenge;Jan 21, 2021 - Data Analyst;great environment and international experience;absence of training programme and mentor;1
2.0;Former Employee;Not a place for Marketers;Jan 6, 2021 - Marketing;Fast pace, pioneering product, very smart talent, sophisticated levels of automation with processes, data driven, good compensation package and flexibility in work location.;Big issue with lack of diversity agenda, aggressive behaviour from senior leadership, lack of trust from senior management/ micromanagement, very high attrition levels, work/life balance, frequent change of company priority and direction and leadership capability of CEO.;11
2.0;Current Employee, less than 1 year;Job review;May 5, 2021 - AML Analyst;Benefits, flexible working hours, bonuses;Not very friendly working environment;3
3.0;Former Employee, more than 1 year;Good for Recent Graduates;Jan 9, 2021 - Specialist in Payments Investigations;Innovative company, with a great product and famous international brand.;Terrible work-life balance, salaries were paid incorrectly a lot of times , variable working schedules with no healthy routine, inexperient and non-professional team leaders.;0
4.0;Current Employee;Pros and cons for revolut;Nov 23, 2020 - Customer Support Specialist;Having the ability to help clients trough out the globe. Provide support to people with their freelancer career or company account.;The cons of the work is having a long timeframe for most cases due the fact you are relying on other teams;0
2.0;Former Employee, less than 1 year;Toxic environment;Oct 12, 2020 - Strategic Partnerships Manager;Great products and very smart people all around;"Disorganised HR/People Ops from beginning to end, lots of ""A-player"" managers with negative people skills, condescending and toxic environment. It's not about the no work-life balance, it's about the terrible and unexperienced people management.";34
5.0;Current Employee;Big company with big ambitions;Nov 10, 2020 - Senior Backend Engineer;Young and ambitious company, modern IT structure, clear and plain-enough corporative hierarchy, open-minded and high-skilled professionals.;For now can not see any cons;0
5.0;Current Employee, less than 1 year;Satisfaction;Nov 10, 2020 - FinCrime Analyst;People, values, work from home;Shift work, working on weekends;0
5.0;Current Employee, more than 1 year;Good to start;Nov 6, 2020 - Support Specialist;Nice environmentEasy to learnGood company culture;Work load not well divided between agents;0
2.0;Former Employee, less than 1 year;It's the people that make a business and you've forgotten them...;Sep 8, 2020 - Senior Recruiter;Great brand, seriously innovative product(s), decent benefits.;CEO deliberately sets unachievable targets. Expect weekend work and for this job to be your life. You'll hear lots of people rambling on about A players and Rocket Ships. Lots of young and academically gifted managers, with no life experience or ability to actually manage. This place will test your mental health.;54
5.0;Current Employee;A great company;Nov 3, 2020 - FinCrime Analyst;Efficient recruitment process, very nice managers and a lot of benefits.;For now everything is perfect.;0
5.0;Current Employee;Really collaborative and friendly environment;Nov 4, 2020 - Sales;Fast paced, things change quickly but you're kept updatedFriendly colleaguesFlat structure - fully transparent and easy to reach out to almost anyone Clear progression;Regulations and compliance is very strict meaning sometimes things are trickier than customers would like;0
1.0;Former Employee, more than 1 year;Good product - bad staff management;Nov 17, 2020 - Anonymous Employee;Great office and benefits, competitive salary, flexible working schedule;Young managers with no idea how to lead teams, long hours, massive redundancies without proper reason (they're using quarterly performance reviews as an excuse to get rid of people).;29
5.0;Current Employee, more than 1 year;Full of very talented people from which you can learn from everyday new stuff;Oct 24, 2020 - Anonymous Employee;- freedom: it’s your responsibility to manage your workload- full remote optionally- benefits: metal card, free breakfast and dinner at the office- health insurance- pension scheme;Some people doesn’t take feedbacks very well;2
1.0;Former Employee, less than 1 year;Shocking culture -;Nov 20, 2020 - Data;- Decent product - Good brand to have on CV ( I guess )- Great pay (compared to local job market);- Product owners don't care about team members as they are too focused in achieving the team's KPI targets. A little empathy can go long way.- Toxic Culture brewed by poor leadership- Staff turnover is extremely high;23
4.0;Current Employee;Great employer;Oct 28, 2020 - Associate;Flexible hours. You get to be surrounded by smart people.;Staff turnover is too high;0
5.0;Former Employee;very nice;Oct 27, 2020 - Anonymous Employee;a very good place to work for;It was very nice, really;0
5.0;Current Employee, less than 1 year;Awesome place to work for skilled motivated people;Oct 27, 2020 - Senior Backend Software Engineer;- ability to build amazing products- focus on success- team of practical proactive professionals- chance to be on boat which sailing to success- always beating goal, and creating next one much higher;- will not feets for people who try to do routine tasks, without doing extra mile, just to getting good salary without efforts;0
3.0;Current Employee, more than 1 year;Startup turning into corporation;Nov 8, 2020 - Web Software Engineer;- Interesting people- Salary- Hire around the world;- Company focused on delivery next feature / design instead on improving what they already have - Work & life balance- Authoritarian CEO;0
